,Unnamed: 0,編號,格式名,Class Name,訂單狀態,訂單日期,訂單歸戶碼,商品歸戶碼,訂購人歸戶碼,其他,備註,Required headers,js
40,,216,"momo
購物網 (每日)",MOMOMALLTW_1553073272,"""  ""","""轉單日""",,,,,,,"{""order_external_id"":[""訂單編號""],
    ""order_status"":[""  ""],
    ""order_date"":[""轉單日""],
    ""product_external_id"":[[""商品原廠編號"", ""]],
    ""client_external_id"":[[""收件人行動電話"", ""收件人電話"", ""個人識別碼""]],
    ""others"":[""進價(含稅)"", ""數量""]}"
41,,213,"媽咪愛 (對帳單)
MamiLove",MAMILOVETW_1553055017,""" ""","""訂單成立日期""",,,,,,,"{""order_external_id"":[],
    ""order_status"":[],
    ""order_date"":[""訂單成立日期""],
    ""product_external_id"":[[""廠商貨號"", ""商品編號""]],
    ""client_external_id"":[""訂單成立日期""],
    ""others"":[]}"
42,,212,"17Life
生活電商",A17LIFE_1553051996,"""訂單狀態""","""購買日期""",,,,,,,"{""order_external_id"":[""訂單編號""],
    ""order_status"":[""訂單狀態""],
    ""order_date"":[""購買日期""],
    ""product_external_id"":[""貨號""],
    ""client_external_id"":[""收件人電話""],
    ""others"":[]}"
43,,210,"iCHEF 會員
餐飲 POS",ICHEFPOS_1552912711,,,,,,,,,"{""order_external_id"":[],
    ""order_status"":[],
    ""order_date"":[],
    ""product_external_id"":[],
    ""client_external_id"":[[""手機號碼"", ""電子郵件""]],
    ""others"":[]}"
44,,209,OCERP,OCERP_1552894801,""" ""","""發票開立日(必填YYYY-MM-DD)""",,,,,,,"{""order_external_id"":[""訂單ID""],
    ""order_status"":[],
    ""order_date"":[""發票開立日(必填YYYY-MM-DD)""],
    ""product_external_id"":[""商品組合自訂料號""],
    ""client_external_id"":[],
    ""others"":[""數量"", ""訂單金額""]}"
45,,208,生活市集,BUY123_1552902343,"""退貨或重複訂單""","""付款時間""",,,,,,,"{""order_external_id"":[""訂單編號""],
    ""order_status"":[""退貨或重複訂單""],
    ""order_date"":[""付款時間""],
    ""product_external_id"":[],
    ""client_external_id"":[""電話""],
    ""others"":[""檔次售價"",""生活市集平均單價""]}"
46,,200,"PChome 
24h購物(寄倉)",PCHOME_1551774457,,"""轉單日期""",,,,,,,"{""order_external_id"":[""訂單編號""],
    ""order_status"":[],
    ""order_date"":[""轉單日期""],
    ""product_external_id"":[""廠商料號""],
    ""client_external_id"":[""訂購人""],
    ""others"":[""實付金額"",""單位成本"",""實際出貨數量""]}"
47,,198,WACA,WACA_1551667761,"""訂單狀態""","""購買日期""",,,,,,,"{""order_external_id"":[""訂單編號""],
    ""order_status"":[""訂單狀態""],
    ""order_date"":[""購買日期""],
    ""product_external_id"":[""商品編號""],
    ""client_external_id"":[[""購買人聯絡電話"", ""購買人電子信箱""]],
    ""others"":[""小計"",""數量""]}"
48,,194,"PChome 
24h購物(對帳單)",PCHOME_1551061510,""" ""","""轉單日期""",,,,,,,"{""order_external_id"":[""訂單編號""],
    ""order_status"":[],
    ""order_date"":[""轉單日期""],
    ""product_external_id"":[""商品名稱/編號""],
    ""client_external_id"":[""轉單日期""],
    ""others"":[]}"
49,,193,"HERBUY
好買寶貝",HERBUYTW_1551023146,,,,,,,,,"{""order_external_id"":[""訂單編號""],
    ""order_status"":[],
    ""order_date"":[],
    ""product_external_id"":[""供貨商產品編號""],
    ""client_external_id"":[""收件人電話""],
    ""others"":[]}"
50,,173,松果購物 (出貨),PCONE_1550304498,,"""付款時間""",,,,,,,"{""order_external_id"":[""訂單編號""],
    ""order_status"":[],
    ""order_date"":[""付款時間""],
    ""product_external_id"":[""主料號""],
    ""client_external_id"":[[""訂購人電話"", ""電話""]],
    ""others"":[""方案價格"", ""方案數量""]}"
51,,172,松果購物-超取,PCONE_1550302824,""" ""","""付款時間""",,,,,,,"{""order_external_id"":[""訂單編號""],
    ""order_status"":[],
    ""order_date"":[""付款時間""],
    ""product_external_id"":[""主料號""],
    ""client_external_id"":[[""訂購人電話"", ""電話""]],
    ""others"":[""方案數量"", ""訂單金額""]}"
52,,171,PayEasy,PAYEASYTW_1550142966,""" ""","""組檔日期""",,,,,,,"{""order_external_id"":[""訂單編號""],
    ""order_status"":[],
    ""order_date"":[""組檔日期""],
    ""product_external_id"":[""廠商商品原始碼""],
    ""client_external_id"":[[""手機"", ""電話(日)"", ""電話(夜)""]],
    ""others"":[""商品數量"", ""帳款金額"",""訂單貨款""]}"
53,,170,"Yahoo!
購物中心",YAHOO_1550224388,"""訂單狀態""","""轉單日""","""訂單編號""","""供應商料號""",,,,,"{""order_external_id"":[""訂單編號""],
    ""order_status"":[""訂單狀態""],
    ""order_date"":[""轉單日""],
    ""product_external_id"":[""供應商料號""],
    ""client_external_id"":[[""收件人手機"", ""收件人電話(日)"", ""收件人電話(夜)""]],
    ""others"":[]}"
54,,169,"Shopee
蝦皮商城 24h",SHOPEE_1550218862,,"""時間""",,,,,,,"{""order_external_id"":[""廠商代碼"" , ""時間""],
    ""order_status"":[],
    ""order_date"":[""時間""],
    ""product_external_id"":[""廠商料號""],
    ""client_external_id"":[""時間""],
    ""others"":[]}"
55,,168,台灣樂天市場,RAKUTENTW_1550215611,"""order_status""","""order_date""",,,,,,,"{""order_external_id"":[],
    ""order_status"":[""order_status""],
    ""order_date"":[""order_date""],
    ""product_external_id"":[],
    ""client_external_id"":[""customer_phone""],
    ""others"":[]}"
56,,167,"ETMall
東森購物",ETMALLTW_1546920597,,"""出貨指示日""",,,,,,,"{""order_external_id"":[""訂單號碼""],
    ""order_status"":[],
    ""order_date"":[""出貨指示日""],
    ""product_external_id"":[""廠商商品號碼""],
    ""client_external_id"":[[""客戶電話"", ""室內電話""]],
    ""others"":[]}"
57,,165,"媽咪拜
Mamibuy",MAMIBUYTW_1550209318,"""狀態""","""付款時間""",,,,,,,"{""order_external_id"":[""單號""],
    ""order_status"":[""狀態""],
    ""order_date"":[""付款時間""],
    ""product_external_id"":[[""商品貨號"", ""商品樣式""]],
    ""client_external_id"":[""收件人手機""],
    ""others"":[""單號"", ""商品總售價""]}"
58,,164,"BOOKS
博客來",BOOKSTW_1546918295,""" ""","""轉單日期""",,,,,,,"{""order_external_id"":[""訂單編號""],
    ""order_status"":[],
    ""order_date"":[""轉單日期""],
    ""product_external_id"":[""貨號""],
    ""client_external_id"":[""聯絡電話""],
    ""others"":[""進貨價"", ""訂購量"", ""應付金額"",""訂單編號""]}"
59,,163,"udn
買東西",UDN_1550215611,,"""訂購日期""",,,,,,,"{""order_external_id"":[""購物車編號""],
    ""order_status"":[],
    ""order_date"":[""訂購日期""],
    ""product_external_id"":[""廠商料號""],
    ""client_external_id"":[[""收貨人市話"", ""收貨人手機""]],
    ""others"":[""購物車編號"", ""售價(促銷價)-小計"", ""進貨價-小計""]}"
60,,162,"momo
摩天商城(批次)",MOMOMALLTW_1550212156,"""配送狀態""","""付款日""",,,,,,,"{""order_external_id"":[""訂單編號""],
    ""order_status"":[""配送狀態""],
    ""order_date"":[""付款日""],
    ""product_external_id"":[[""商店品號"", ""MoMo商品編號""]],
    ""client_external_id"":[[""訂購人行動電話"", ""訂購人電話"", ""收件人行動電話"", ""收件人電話""]],
    ""others"":[]}"
